id,calories,proteins,fat,carbohydrate,name,image
1028,136,43,2.4,3,Ragi,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Ragi.jpg
1030,69,0.9,0.1,18.1,Rambutan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rambutan.jpg
1032,76,0.5,0.2,18,Rambutan binjai segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rambutan_binjai_segar.jpg
1034,295,7.3,8.5,47.5,Rarawuan ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rarawuan_.jpg
1038,81,16.2,1.2,0.7,Rebon (udang kecil segar),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rebon_(udang_kecil_segar).jpg
1039,299,29.4,3.6,3.2,Rebon kering,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rebon_kering.jpg
1041,27,0.6,0.3,5.2,Rebung,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rebung.jpg
1042,320,7.2,4.2,63.3,Rebung laut mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rebung_laut_mentah.jpg
1043,451,11.2,20.2,59.7,Rempeyek kacang tolo,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rempeyek_kacang_tolo.jpg
1044,497,17,27.6,50.8,Rempeyek kacang uci,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rempeyek_kacang_uci.jpg
1045,193,22.6,7.9,7.8,Rendang sapi masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rendang_sapi_masakan.jpg
1046,471,4.7,21.8,64.1,Renggi goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Renggi_goreng.jpg
1049,341,5.5,16.2,43.3,Roti boong,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Roti_boong.jpg
1050,350,7.5,2,75.5,Roti Gambang ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Roti_Gambang_.jpg
1051,248,8,1.2,50,Roti Putih,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Roti_Putih.jpg
1052,249,7.9,1.5,49.7,Roti warna sawo matang,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Roti_warna_sawo_matang.jpg
1053,153,11.3,8.4,8,Rujak cingur,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rujak_cingur.jpg
1054,41,1.4,0.3,8.1,Rumput laut,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rumput_laut.jpg
1055,536,40.5,41.5,0,Rusa daging dendeng mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Rusa_daging_dendeng_mentah.jpg
